VOGAL,F1,F2,AMOSTRA
e,951.8992109582,1884.8600686271,PBSP
o,775.9373234517,1216.025579057,PBSP
e,857.2279248171,1974.0443120478,PBSP
e,716.745683144,1885.4803463661,PBSP
e,645.3324182322,2015.5183841841,PBSP
o,874.3901503807,1242.3333477645,PBSP
o,894.6665288429,1277.3747111296,PBSP
u,394.0593033898,1248.6345950164,PBSP
o,693.2325427807,1305.6435716013,PBSP
e,766.6967892538,2004.7550768462,PBSP
o,765.4879414553,1301.7176511222,PBSP
e,752.2300549723,2080.7608846202,PBSP
e,797.9906168354,1978.0342760272,PBSP
e,621.3349639202,2004.3076637043,PBSP
u,336.4512901918,881.8210339273,PBSP
e,496.4025311299,1892.105624893,PBSP
o,777.6933445749,1204.8394383624,PBSP
o,729.0614769968,1152.2743945819,PBSP
e,484.8164611411,1911.4690798939,PBSP
o,869.4938743661,1274.5256380325,PBSP
o,757.340685412,1189.0348204331,PBSP
e,737.2914963047,1975.5651609493,PBSP
e,696.465891934,2259.6733175966,PBSP
e,735.489883049,2136.1722005304,PBSP
e,730.6248342242,2121.6963627678,PBSP
o,852.6834140016,1230.6200966445,PBSP
o,668.367599123,1167.3596132636,PBSP
e,740.6642589411,2091.4274042161,PBSP
e,711.2676799935,1919.1550473128,PBSP
e,751.0142616541,2109.165358361,PBSP
o,1026.7089337502,1391.3529376828,PBSP
e,629.5715433374,2010.6997697985,PBSP
e,1021.440596589,2117.3433879011,PBSP
o,781.4989831173,1265.8346064036,PBSP
o,754.6616063728,1244.5674276121,PBSP
o,890.0687887311,1250.9361411017,PBSP
e,622.775058764,2096.7027073963,PBSP
o,726.1898049284,1163.588298039,PBSP
e,541.9980665107,2161.3757666247,PBSP
o,909.6387347372,1286.6209727441,PBSP
o,776.657038956,1378.6277274746,PBSP
o,737.1310650537,1181.4322069224,PBSP
o,811.6211005985,1283.9687385595,PBSP
o,585.4391791338,1317.7584007371,PBSP
o,839.7007195575,1235.9690523638,PBSP
o,827.4063306998,1168.1171743037,PBSP
o,694.9507826504,1455.6941887286,PBSP
o,689.3186678538,1223.8716276203,PBSP
a,760.8207330822,1129.7215545824,PBSP
a,768.3769259016,1182.1844955825,PBSP
a,679.8233496596,1246.0522271223,PBSP
a,538.1754600886,1259.5855010718,PBSP
a,671.8163224173,1259.6357829691,PBSP
i,495.2749144692,1828.3054808011,PBSP
i,422.6491333636,1591.8846211647,PBSP
